Family	Acidaminococcaceae	Actinomycetaceae	Aerococcaceae	Alcaligenaceae	Anaeroplasmataceae	Bacteroidaceae	Bacteroidales_S24-7_group	Bifidobacteriaceae	Campylobacteraceae	Cardiobacteriaceae	Carnobacteriaceae	Christensenellaceae	Clostridiaceae_1	Clostridiales_vadinBB60_group	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Defluviitaleaceae	Desulfovibrionaceae	Elusimicrobiaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Family_XI	Family_XIII	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Leptotrichiaceae	Leuconostocaceae	Methanobacteriaceae	Microbacteriaceae	Micrococcaceae	Mitochondria	Moraxellaceae	Neisseriaceae	Oxalobacteraceae	Pasteurellaceae	Peptococcaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhodospirillaceae	Rikenellaceae	Ruminococcaceae	Staphylococcaceae	Streptococcaceae	Succinivibrionaceae	Synergistaceae	Thermoanaerobacteraceae	Unknown_Family	Veillonellaceae	Verrucomicrobiaceae	Victivallaceae	vadinBE97
Clostridiaceae_1	0.00540054005401	0.14401440144	0.243924392439	0.01800180018	0.217821782178	0.0	0.80198019802	0.001800180018	0.0639063906391	0.0927092709271	0.0648064806481	0.0	1.0	0.629162916292	0.841584158416	0.0828082808281	0.449144914491	0.71197119712	0.012601260126	0.618361836184	0.123312331233	0.0	0.0	0.240324032403	0.860486048605	0.0	0.017101710171	0.001800180018	0.729072907291	0.002700270027	0.014401440144	0.44104410441	0.230423042304	0.0621062106211	0.041404140414	0.726372637264	0.917191719172	0.0864086408641	0.219621962196	0.289828982898	0.0	0.004500450045	0.0648064806481	0.942394239424	0.285328532853	0.214221422142	0.695769576958	0.218721872187	0.341134113411	0.59495949595	0.291629162916	0.048604860486	0.940594059406	0.0711071107111	0.00630063006301	0.951395139514	0.583258325833	0.237623762376
Clostridiales_vadinBB60_group	0.02700270027	0.0	0.00540054005401	0.932493249325	0.000900090009001	0.919891989199	0.00720072007201	0.599459945995	0.491449144914	0.00810081008101	0.0	0.0	0.629162916292	1.0	0.824482448245	0.418541854185	0.003600360036	0.0	0.737173717372	0.617461746175	0.0	0.340234023402	0.029702970297	0.903690369037	0.0	0.047704770477	0.0684068406841	0.00900090009001	0.015301530153	0.953195319532	0.00810081008101	0.0	0.00540054005401	0.0720072007201	0.014401440144	0.219621962196	0.327632763276	0.012601260126	0.017101710171	0.002700270027	0.756075607561	0.18901890189	0.000900090009001	0.0801080108011	0.192619261926	0.0630063006301	0.016201620162	0.163816381638	0.011701170117	0.0	0.112511251125	0.920792079208	0.000900090009001	0.011701170117	0.438343834383	0.021602160216	0.0	0.248424842484
Comamonadaceae	0.615661566157	0.277227722772	0.0666066606661	0.799279927993	0.000900090009001	0.038703870387	0.0738073807381	0.27902790279	0.0981098109811	0.0	0.280828082808	0.982898289829	0.841584158416	0.824482448245	1.0	0.018901890189	0.894689468947	0.319531953195	0.145814581458	0.191719171917	0.96399639964	0.616561656166	0.469846984698	0.566156615662	0.400540054005	0.117911791179	0.630063006301	0.313231323132	0.011701170117	0.629162916292	0.297929792979	0.228622862286	0.00990099009901	0.805580558056	0.255625562556	0.140414041404	0.384338433843	0.0873087308731	0.95499549955	0.408640864086	0.483348334833	0.580558055806	0.96399639964	0.401440144014	0.293429342934	0.315931593159	0.731773177318	0.518451845185	0.101710171017	0.351935193519	0.949594959496	0.444644464446	0.0612061206121	0.02700270027	0.918091809181	0.545454545455	0.785778577858	0.00630063006301
Coriobacteriaceae	0.0756075607561	0.0	0.291629162916	0.00990099009901	0.0	0.0	0.435643564356	0.0	0.0	0.0	0.434743474347	0.0576057605761	0.0828082808281	0.418541854185	0.018901890189	1.0	0.305130513051	0.106210621062	0.049504950495	0.016201620162	0.542754275428	0.760576057606	0.0	0.636363636364	0.0774077407741	0.0	0.000900090009001	0.877587758776	0.018901890189	0.0	0.02700270027	0.028802880288	0.0	0.450945094509	0.03600360036	0.0	0.0	0.859585958596	0.00900090009001	0.000900090009001	0.002700270027	0.629162916292	0.010801080108	0.018901890189	0.003600360036	0.27902790279	0.829882988299	0.319531953195	0.018901890189	0.638163816382	0.33303330333	0.0	0.00630063006301	0.0	0.002700270027	0.518451845185	0.0	0.0
Corynebacteriaceae	0.178217821782	0.0	0.021602160216	0.37803780378	0.303330333033	0.936093609361	0.993699369937	0.554455445545	0.381638163816	0.526552655266	0.000900090009001	0.0	0.449144914491	0.003600360036	0.894689468947	0.305130513051	1.0	0.016201620162	0.233123312331	0.175517551755	0.171917191719	0.556255625563	0.781278127813	0.226822682268	0.0	0.32403240324	0.895589558956	0.613861386139	0.269126912691	0.0945094509451	0.454545454545	0.361836183618	0.003600360036	0.00900090009001	0.252925292529	0.03600360036	0.189918991899	0.309630963096	0.566156615662	0.0909090909091	0.352835283528	0.0873087308731	0.018901890189	0.0	0.040504050405	0.172817281728	0.003600360036	0.0549054905491	0.185418541854	0.028802880288	0.00720072007201	0.629162916292	0.832583258326	0.985598559856	0.565256525653	0.001800180018	0.123312331233	0.300630063006
Defluviitaleaceae	0.0	0.0	0.175517551755	0.987398739874	0.00810081008101	0.019801980198	0.000900090009001	0.021602160216	0.231323132313	0.012601260126	0.000900090009001	0.0	0.71197119712	0.0	0.319531953195	0.106210621062	0.016201620162	1.0	0.401440144014	0.194419441944	0.00810081008101	0.0684068406841	0.016201620162	0.74797479748	0.0	0.0	0.016201620162	0.385238523852	0.000900090009001	0.998199819982	0.002700270027	0.001800180018	0.167416741674	0.0	0.0	0.275427542754	0.314131413141	0.00540054005401	0.0	0.0	0.460846084608	0.765076507651	0.0981098109811	0.698469846985	0.0675067506751	0.581458145815	0.004500450045	0.0	0.346534653465	0.0	0.385238523852	0.184518451845	0.000900090009001	0.629162916292	0.392439243924	0.0900090009001	0.000900090009001	0.114311431143
Desulfovibrionaceae	0.0	0.049504950495	0.012601260126	0.000900090009001	0.0999099909991	0.041404140414	0.003600360036	0.163816381638	0.244824482448	0.003600360036	0.029702970297	0.0	0.012601260126	0.737173717372	0.145814581458	0.049504950495	0.233123312331	0.401440144014	1.0	0.0585058505851	0.0540054005401	0.0	0.0	0.020702070207	0.039603960396	0.015301530153	0.186318631863	0.004500450045	0.0	0.0828082808281	0.0576057605761	0.00720072007201	0.02700270027	0.139513951395	0.0792079207921	0.0	0.000900090009001	0.011701170117	0.352835283528	0.0	0.003600360036	0.0	0.0	0.003600360036	0.0	0.038703870387	0.0	0.016201620162	0.0	0.0	0.55895589559	0.236723672367	0.407740774077	0.0720072007201	0.877587758776	0.774077407741	0.170117011701	0.010801080108
Elusimicrobiaceae	0.258325832583	0.437443744374	0.025202520252	0.466246624662	0.00900090009001	0.241224122412	0.521152115212	0.038703870387	0.63096309631	0.190819081908	0.353735373537	0.418541854185	0.618361836184	0.617461746175	0.191719171917	0.016201620162	0.175517551755	0.194419441944	0.0585058505851	1.0	0.502250225023	0.993699369937	0.24302430243	0.70297029703	0.017101710171	0.136813681368	0.0684068406841	0.945094509451	0.201620162016	0.694869486949	0.010801080108	0.443744374437	0.003600360036	0.153915391539	0.616561656166	0.0828082808281	0.0882088208821	0.823582358236	0.229522952295	0.803780378038	0.989198919892	0.022502250225	0.0711071107111	0.003600360036	0.76597659766	0.44104410441	0.046804680468	0.63096309631	0.0747074707471	0.174617461746	0.000900090009001	0.202520252025	0.71197119712	0.003600360036	0.484248424842	0.653465346535	0.001800180018	0.001800180018
Enterobacteriaceae	0.938793879388	0.033303330333	0.032403240324	0.0621062106211	0.165616561656	0.104410441044	0.04500450045	0.221422142214	0.445544554455	0.652565256526	0.024302430243	0.0	0.123312331233	0.0	0.96399639964	0.542754275428	0.171917191719	0.00810081008101	0.0540054005401	0.502250225023	1.0	0.000900090009001	0.977497749775	0.920792079208	0.004500450045	0.0	0.0	0.003600360036	0.032403240324	0.562556255626	0.000900090009001	0.0666066606661	0.151215121512	0.001800180018	0.003600360036	0.002700270027	0.232223222322	0.612061206121	0.004500450045	0.014401440144	0.139513951395	0.167416741674	0.027902790279	0.012601260126	0.030603060306	0.011701170117	0.0	0.0	0.633663366337	0.0	0.488748874887	0.930693069307	0.016201620162	0.176417641764	0.004500450045	0.0891089108911	0.136813681368	0.926192619262
Enterococcaceae	0.0	0.0	0.872187218722	0.0	0.415841584158	0.002700270027	0.823582358236	0.00720072007201	0.394239423942	0.951395139514	0.035103510351	0.419441944194	0.0	0.340234023402	0.616561656166	0.760576057606	0.556255625563	0.0684068406841	0.0	0.993699369937	0.000900090009001	1.0	0.0	0.0513051305131	0.030603060306	0.413141314131	0.524752475248	0.262826282628	0.0	0.00900090009001	0.0	0.796579657966	0.2700270027	0.017101710171	0.839783978398	0.342934293429	0.385238523852	0.448244824482	0.991899189919	0.58595859586	0.0	0.000900090009001	0.02700270027	0.939693969397	0.150315031503	0.103510351035	0.002700270027	0.017101710171	0.242124212421	0.0	0.966696669667	0.166516651665	0.040504050405	0.04500450045	0.00720072007201	0.021602160216	0.0558055805581	0.617461746175
Erysipelotrichaceae	0.0	0.0	0.0	0.0	0.598559855986	0.0	0.786678667867	0.00720072007201	0.13501350135	0.72097209721	0.019801980198	0.689468946895	0.0	0.029702970297	0.469846984698	0.0	0.781278127813	0.016201620162	0.0	0.24302430243	0.977497749775	0.0	1.0	0.004500450045	0.000900090009001	0.0	0.505850585059	0.0	0.0837083708371	0.0	0.0	0.74797479748	0.246624662466	0.780378037804	0.286228622862	0.644464446445	0.78397839784	0.291629162916	0.024302430243	0.651665166517	0.0	0.004500450045	0.0720072007201	0.301530153015	0.144914491449	0.195319531953	0.0	0.202520252025	0.183618361836	0.000900090009001	0.0990099009901	0.016201620162	0.123312331233	0.879387938794	0.0	0.018901890189	0.010801080108	0.255625562556
